id,cluster_hint,riasec_R,riasec_I,riasec_A,riasec_S,riasec_E,riasec_C,skill_programming,skill_problem_solving,skill_communication,skill_creativity,skill_leadership,skill_analytical,skill_mathematics,skill_design,skill_research,skill_teamwork,subject_mathematics,subject_science,subject_arts,subject_languages
student_1,Creative,0.225,0.3846,0.9253,0.5475,0.4852,0.3217,0.3957,0.6001,0.7592,0.9478,0.4928,0.4563,0.4017,0.865,0.6158,0.5331,0.3012,0.4048,0.9282,0.652
student_2,Business/Leadership,0.3162,0.5443,0.3853,0.4948,0.7851,0.7847,0.3992,0.6916,0.8065,0.483,0.9201,0.7482,0.5786,0.3537,0.5297,0.8146,0.595,0.5068,0.3994,0.7715
student_3,Tech/Analytical,0.2111,0.9156,0.2169,0.2864,0.4344,0.5479,0.9096,0.9353,0.432,0.3578,0.461,0.8831,0.7676,0.2941,0.7721,0.5626,0.9106,0.8647,0.2212,0.4098
student_4,Tech/Analytical,0.2249,0.8378,0.2249,0.3773,0.3994,0.5559,0.9343,0.8291,0.5087,0.2682,0.3946,0.8582,0.8508,0.3571,0.7452,0.5374,0.8383,0.82,0.2308,0.4441
student_5,Business/Leadership,0.2702,0.5443,0.3422,0.5162,0.904,0.7099,0.4513,0.6996,0.8985,0.5712,0.8989,0.7565,0.6621,0.4749,0.5505,0.7414,0.6024,0.4864,0.3728,0.7416
student_6,Social/People,0.2231,0.5151,0.4955,0.8666,0.538,0.4959,0.2255,0.5291,0.9016,0.5969,0.7114,0.4065,0.3743,0.4851,0.5676,0.8911,0.4253,0.5211,0.6679,0.8872
student_7,Creative,0.208,0.4236,0.9138,0.6175,0.4195,0.2746,0.3202,0.5234,0.6695,0.9769,0.568,0.4227,0.3102,0.9226,0.5736,0.5803,0.3097,0.2775,0.98,0.7359
student_8,Business/Leadership,0.2739,0.4806,0.3372,0.567,0.901,0.727,0.449,0.7859,0.9193,0.5675,0.9015,0.7248,0.6246,0.409,0.5397,0.7331,0.666,0.526,0.3806,0.8131
student_9,Social/People,0.0755,0.4812,0.4699,0.8157,0.5235,0.5633,0.2937,0.5439,0.98,0.6606,0.7755,0.4342,0.3535,0.4262,0.5387,0.8612,0.5,0.4919,0.7057,0.8754
student_10,Creative,0.181,0.4621,0.9675,0.4777,0.4321,0.288,0.2926,0.5108,0.6571,0.8872,0.4985,0.46,0.4162,0.8574,0.642,0.5409,0.2979,0.3788,0.872,0.6663
